CPU only time (ns): 1.38924e+10
PIM only time (ns): 6.37545e+09
Reuse offloading time (ns): 6.37093e+09 = CPU 1.01293e+06 + PIM 6.36982e+09 + REUSE 103320 + SWITCH 38880
============================================================
  BBLID  Decision            CPU            PIM     difference          Hash(hi)          Hash(lo)
    237         P    2.21629e+06       1.05e+06    1.16629e+06  ec79ade5a8e7a0eb  bd753e8ece6e91b9
    238         C        51.3333            681       -629.667  ecd8e8cb7a892db4  98e5421bcd5c2d0c
    239         P         718322         331879         386443  ed5ead800b37f79b  85c0ee588663caa2
    240         P    8.53332e+06        3.2e+06    5.33332e+06  edf95f7a13a2b62b  07a31c956b36eb92
    241         P     1.8099e+06    1.40714e+06         402760  ee8438508a21ec4a  d4d3cfefe34eb33f
    242         C       0.999999             59            -58  f0ef4c831132fde6  3ef074d2a9944ede
    243         P            464            200            264  f1a43ad4549dbaec  86449bd2d12f4cd7
    244         P    1.89498e+09    5.59906e+08    1.33507e+09  f381831f575d0fec  37f844946a1c46c6
    245         P        10461.7           3372         7089.7  f466a760762ab9e1  bc311543f55a6372
    246         P    2.72639e+07    8.93272e+06    1.83312e+07  f6665d868dd1b752  71ec95ab31d6760f
    247         C        2.33333             65       -62.6667  f7447da49047cd6b  428b6aab8318b882
    248         P    5.08462e+06    2.07899e+06    3.00563e+06  f9795041a30af5a4  c1b1124835be8fec
    249         P    2.00295e+06    1.20748e+06         795470  f97e6c143c8303ab  6804063087a6a3e8
    250         P    3.59413e+07    1.68081e+07    1.91332e+07  fa3c5b6415ab1ec3  ecd3521f882e71eb
    251         P    1.20532e+08    3.23208e+07    8.82112e+07  fb492c685001a8a9  7178d5585bd52061
    252         P          15587           3384          12203  fbd07253b8c5a5c0  4dc648231616ec4a
    253         P    3.40447e+06    1.05437e+06     2.3501e+06  fbd66ce250888388  7ba05c6a919172eb
    254         P         413393          75000         338393  fc023029a95d91e5  06cf9e227d210359
    255         C        42.6666              8        34.6666  fd0e456cd1cc5f1c  737b60dbf8f6933e
    256         P    1.45115e+06         274012    1.17714e+06  fd90a1dd34bedbbc  786bda13842ec5ed
    257         C        42.6666            691       -648.333  ffaece3c56fb228d  72a219588d441418
