CPU only time (ns): 1.15535e+10
PIM only time (ns): 1.09151e+10
Reuse offloading time (ns): 5.54602e+09 = CPU 3.27693e+08 + PIM 5.21827e+09 + REUSE 58410 + SWITCH 8760
============================================================
  BBLID  Decision            CPU            PIM     difference          Hash(hi)          Hash(lo)
    133         C       0.999999              9             -8  37803714806ad5d8  3bc15c52c71c665f
    134         P         696505         232155         464350  38de190ed417dbfd  97f7221970a14600
    135         P        1.66667            278       -276.333  39727ab755b72d87  aadceba64bde89f7
    136         P    9.15263e+06    4.96639e+06    4.18624e+06  39d8a350495f8cfb  f680d5b1768ed9f3
    137         P              5            567           -562  3a0d2cbb23b9e224  4c27f0fa00ab63b5
    138         P         324000          92160         231840  3c2a8dbb32180037  27419f71752ec404
    139         C             12             65            -53  3c3466703266bd0d  c62e98dfc9b48a55
    140         P        16398.7          75371       -58972.3  3c4cdc5b41b052e4  97e0f3a673d02d45
    141         C            196            414           -218  3c4f4c1ecbc0aa8e  abbf7edfd0adbeb1
    142         P        56517.6         355559        -299041  3d68b0664b79df8b  c1fa3ae53676aec6
    143         P    1.63382e+07         918450    1.54198e+07  3dd35f43c7422c5a  d13fc4551af0c819
    144         P         221050         183690          37360  3e38e39d3d445025  54382a80c767acb7
    145         C    1.55749e+06    9.56027e+06   -8.00278e+06  3e5c5a36b8bb00fa  9da209beffc8cfef
    146         P         551825         230400         321425  3e94278a3a719782  0eb947ae4d244dc6
    147         C       0.333333              4       -3.66667  3eb1df9bc3c8ad8d  c6afaab878ccacf5
    148         C        1.33333            297       -295.667  3ed323358e095faa  b0381b44287f7319
    149         C        99387.2    2.03142e+06   -1.93203e+06  3ef6c13c4b27d161  7cb6d34610ada935
    150         C        693.666           2552       -1858.33  3f23201009f6ee7c  acc0d664b1919df2
    151         C    4.91249e+07    8.04047e+08   -7.54922e+08  3ff237eeb34ba748  4c70ea7d28a5e682
    152         P        86652.9          57502        29150.9  407e00a33ae35cc9  021c7caef7c629ab
    153         P        17893.3          75080       -57186.7  40b4bb00bb96075b  b89b7d49e2b70f0c
    154         P          15825          61824         -45999  41d2486abac51481  ba898dadae18b5f3
    155         C          12696         120960        -108264  41fc69701cc66cbd  06a5b1d9a72130a9
    156         P        1.66667             20       -18.3333  430491afc9397f1b  0aa3c6357f690b64
    157         C         113444    1.25767e+06   -1.14423e+06  439b55a47431c4dc  e11a7c424f33507a
    158         C       0.999999            374           -373  43adc68d06ca2fdc  c60a274a991d5b19
    159         C    2.42006e+06    2.39433e+07   -2.15232e+07  44211d461f12545f  99e6e765e5a75ce5
    160         P        153.333           1161       -1007.67  44543490b78d8dc4  43e5b88e8159324e
    161         P    6.33482e+07    3.19259e+07    3.14223e+07  4462322e406d91f0  0e9bcfef10916d59
    162         C        3329.66          23299       -19969.3  44d93b1f684dc72d  8aa75f5c5bb37e87
    163         P    5.61965e+06         722781    4.89687e+06  44ddb59207bf28ee  001403d02e1f4b0a
    164         P              5            548           -543  45017fcfbf325338  bccd1f9dcea151e0
    165         C        7.66666           2144       -2136.33  4589784bed9e0766  272b819e5c34319f
    166         C          17012          83961         -66949  466391c3b6b88268  763cdcaf47fb4c0f
    167         P         549690         271112         278578  47279f8daabb2594  1a80a9d20370b1b1
    168         P    4.91692e+07     2.7046e+07    2.21232e+07  4785d95cac55cfce  575c678e84f1e470
    169         C    3.76636e+06    4.49758e+07   -4.12094e+07  47d5cae97bdf603f  f734552524f9d93e
    170         C       0.666666             68       -67.3333  48a8ee66e541058c  e03f161c80cf7396
    171         P         609767         244920         364847  48e4c1bba7e87009  b4f5a36ab234c89e
    172         C           1100          77388         -76288  48f4a13aeed717f6  1d950e592f6d5f0f
    173         P    5.84018e+06    8.10095e+06   -2.26077e+06  4965f6a5edfd284f  e9a130962addb8e0
    174         P        10602.3          40010       -29407.7  49bbc34926bf4d4f  06a921d80966185c
    175         C    1.15738e+07    1.43035e+08   -1.31461e+08  4a0dbda632ec971b  04df0d745fc3400f
    176         C         528789    3.08764e+06   -2.55885e+06  4a3e9f6de6509156  6330cf9a5f1512f1
    177         C        1.33333            320       -318.667  4a738744aff41f2f  2a58f3fc26e47eaf
    178         C        90283.2     1.2324e+06   -1.14212e+06  4b4a6c38b53e4da4  f4191ec69c6ed97b
    179         C        90274.9    6.97105e+07   -6.96202e+07  4c91b9ca3570a934  cad3bd2116047404
    180         C           1845           1416            429  4cdb0ef9de9b646a  107fb10416b14f46
    181         P        20349.3          61710       -41360.7  4d0dcb38fd374216  e48383142dfa7838
    182         C        57172.6         541696        -484523  4e1a2ae648c8428b  b73b6dc6fc42fe3b
    183         C        2616.33          82553       -79936.7  4e282bc2c829290c  f3a6810593698718
    184         C        3.33333           1604       -1600.67  4e2ddd84e8871191  d70474b5aa437ee7
    185         P        76.6666            240       -163.333  4fac2df527db88c0  339170151a4383e6
    186         P    1.90076e+06    1.37249e+06         528270  501288068f877583  b5ee6dca209e619d
    187         P    5.34585e+07    1.56113e+07    3.78472e+07  5089902f41c2f80d  3b3a0926f9b532de
    188         C        70.9999            576           -505  509879db7e8d55fe  7128c2bf7606b16f
    189         C        1.33333             10       -8.66667  50bd76083c5437b6  e10a808874b25e83
